Age,Rate
0,0.479943701618578
1,0.479943701618578
2,0.479943701618578
3,0.479943701618578
4,0.479943701618578
5,0.635420821699242
6,0.635420821699242
7,0.635420821699242
8,0.635420821699242
9,0.635420821699242
10,0.635420821699242
11,0.635420821699242
12,0.635420821699242
13,0.635420821699242
14,0.635420821699242
15,0.531822044162146
16,0.531822044162146
17,0.531822044162146
18,0.531822044162146
19,0.531822044162146
20,0.531822044162146
21,0.531822044162146
22,0.531822044162146
23,0.531822044162146
24,0.531822044162146
25,0.531822044162146
26,0.531822044162146
27,0.531822044162146
28,0.531822044162146
29,0.531822044162146
30,0.531822044162146
31,0.531822044162146
32,0.531822044162146
33,0.531822044162146
34,0.531822044162146
35,0.531822044162146
36,0.531822044162146
37,0.531822044162146
38,0.531822044162146
39,0.531822044162146
40,0.531822044162146
41,0.531822044162146
42,0.531822044162146
43,0.531822044162146
44,0.531822044162146
45,0.531822044162146
46,0.531822044162146
47,0.531822044162146
48,0.531822044162146
49,0.531822044162146
50,0.471023873317879
51,0.471023873317879
52,0.471023873317879
53,0.471023873317879
54,0.471023873317879
55,0.471023873317879
56,0.471023873317879
57,0.471023873317879
58,0.471023873317879
59,0.471023873317879
60,0.471023873317879
61,0.471023873317879
62,0.471023873317879
63,0.471023873317879
64,0.471023873317879
65,0.489882196465894
66,0.489882196465894
67,0.489882196465894
68,0.489882196465894
69,0.489882196465894
70,0.489882196465894
71,0.489882196465894
72,0.489882196465894
73,0.489882196465894
74,0.489882196465894
75,0.414338102370745
76,0.414338102370745
77,0.414338102370745
78,0.414338102370745
79,0.414338102370745
80,0.414338102370745
81,0.414338102370745
82,0.414338102370745
83,0.414338102370745
84,0.414338102370745
85,0.414338102370745
86,0.414338102370745
87,0.414338102370745
88,0.414338102370745
89,0.414338102370745
90,0.414338102370745
91,0.414338102370745
92,0.414338102370745
93,0.414338102370745
94,0.414338102370745
95,0.414338102370745
96,0.414338102370745
97,0.414338102370745
98,0.414338102370745
99,0.414338102370745
