Age,Population
0,114216
1,118487
2,120271
3,122113
4,125158
5,126608
6,130094
7,130663
8,133809
9,135182
10,137520
11,136516
12,137045
13,134315
14,133440
15,130380
16,129182
17,126213
18,125931
19,128825
20,132441
21,132034
22,133555
23,136909
24,138871
25,139992
26,141935
27,147582
28,152499
29,154589
30,154705
31,152623
32,152700
33,150019
34,149758
35,146974
36,148204
37,148159
38,151369
39,152850
40,154830
41,152169
42,150213
43,148281
44,146122
45,143796
46,147626
47,150467
48,154825
49,157586
50,158835
51,156740
52,156004
53,155811
54,159230
55,162037
56,165861
57,161953
58,157810
59,156559
60,153628
61,152374
62,147343
63,142810
64,138743
65,135086
66,130912
67,126198
68,123560
69,117051
70,116303
71,113933
72,113187
73,110011
74,108077
75,89556
76,87214
77,80505
78,69230
79,60966
80,65657
81,68333
82,66133
83,60268
84,55285
85,50534
86,47333
87,42241
88,38710
89,34083
90,29062
91,22504
92,17912
93,13976
94,10882
95,8223
96,5842
97,4037
98,2633
99,1783
100,2158
